Franchise Owner Name,Legal Corporate Name,Corporate Address,Corporate Phone Number,Corporate Email,Franchise Owner LinkedIn URL,Source URLs
"Bruno Acquisitions, LLC","Bruno Acquisitions, LLC","688 Las Palmas Blvd., Cotulla, TX",(830) 483-9269,info@brunoacquisitionsllc.com,https://lu.linkedin.com/pub/dir/Gabe/Castaneda,https://lu.linkedin.com/pub/dir/Gabe/Castaneda; https://www.uscis.gov/sites/default/files/document/data/h-1b-fy09%20counts-employers.csv
"McAllen GC, LLC","McAllen GC, LLC","4501 N. 23^{rd}, McAllen, TX",(956) 631-2544,info@mcallengcllc.com,https://www.linkedin.com/company/city-of-mcallen-tx,https://www.linkedin.com/company/city-of-mcallen-tx; https://www.linkedin.com/jobs/view/field-sales-representative-at-gc-america-4260610344; https://www.linkedin.com/company/mcallenconstruction
"GC Restaurants SA, LLC","GC Restaurants SA, LLC","11207 Potranco Road, San Antonio, TX",(210) 679-0675,info@gcrestaurantssallc.com,https://www.linkedin.com/company/golfcluboftexas-sanantonio,https://www.linkedin.com/company/golfcluboftexas-sanantonio; https://www.linkedin.com/in/joe-g-76059a156; https://www.linkedin.com/company/steak-n-shake
"G.C. Garland-IH 30 2015,
Ltd.","G.C. Garland-IH 30 2015,
Ltd. LLC","430 E. IH 30, Garland, TX",(972) 807-6721,"info@g.c.garland-ih302015
ltd..com",https://www.linkedin.com/in/rebeccajapineda,https://www.linkedin.com/in/rebeccajapineda; https://www.linkedin.com/in/fernando-padilla; https://www.linkedin.com/in/lindseywhiteside
"AIG Foods Enterprises,
LLC","AIG Foods Enterprises,
LLC","663 West Commerce, Brownwood, TX",(325) 643-5533,"info@aigfoodsenterprises
llc.com",https://www.linkedin.com/in/shahzad-ghafoor-mba-b52a1823,https://www.linkedin.com/in/shahzad-ghafoor-mba-b52a1823; https://www.linkedin.com/company/canidae; https://www.linkedin.com/in/james-tidwell-ab29851b8
"G.C. Ft. Worth – Altamesa
2016, Ltd.","G.C. Ft. Worth – Altamesa
2016, Ltd. LLC","3001 Altamesa Blvd., Fort Worth, TX",(817) 294-5200,"info@g.c.ft.worth–altamesa
2016ltd..com",,https://www.mapquest.com/us/texas/g-c-ft-worth-altamesa-2016-ltd-379974609
"Bo Stover Enterprises, Inc.","Bo Stover Enterprises, Inc.","405 FM 685, Hutto, TX",(512) 846-2312,info@bostoverenterprisesinc..com,https://www.linkedin.com/in/bo-stover-54582226,https://www.linkedin.com/in/bo-stover-54582226; https://www.linkedin.com/pub/dir/Bo/Stover; https://www.linkedin.com/in/gwsiii
"GC @ Spears Road, LLC","GC @ Spears Road, LLC","2824 Spears Road, Houston, TX",(832) 955-1549,info@gc@spearsroadllc.com,https://www.linkedin.com/company/gc-squared-resources-llc,https://www.linkedin.com/company/gc-squared-resources-llc; https://www.linkedin.com/in/sarah-spears-423554221?trk=people-guest_people_search-card; https://www.linkedin.com/company/iea-inc.
"Bartosh, Katelyn","Bartosh, Katelyn LLC","2738 Woodland Drive, Pleasanton, TX",(210) 844-1483,info@bartoshkatelyn.com,,https://clustrmaps.com/person/Bartosh-bgjfb9; https://www.zabasearch.com/people/timothy-bartosh/; https://www.whitepages.com/name/Katelyn-Carrasco/TX
"Silguero Enterprises, LLC","Silguero Enterprises, LLC","622 West Avenue J, Robstown, TX",(361) 767-8625,info@silgueroenterprisesllc.com,https://www.linkedin.com/in/robert-silguero-b45690102,https://www.linkedin.com/in/robert-silguero-b45690102; https://www.linkedin.com/in/abel-silguero-27b2843b; https://www.linkedin.com/in/jose-silguero-94534194
"Pointbreak Ventures, Inc.","Pointbreak Ventures, Inc.","616 Stassney, Austin, TX",(512) 445-4242,info@pointbreakventuresinc..com,https://www.linkedin.com/company/point-rider-capital,https://www.linkedin.com/company/point-rider-capital; https://www.linkedin.com/in/mariah-harvey-brown-25851b131; https://www.linkedin.com/in/don-grier
"MURPHYWYLIEGC
LLC","MURPHYWYLIEGC
LLC","501 South State Hwy 78, Wylie, TX",(972) 442-2339,"info@murphywyliegc
llc.com",,
"Powell, Clint","Powell, Clint LLC","300 North Alamo, Refugio, TX",(361) 526-5122,info@powellclint.com,https://www.linkedin.com/in/clint-powell-2135178,https://www.linkedin.com/in/clint-powell-2135178; https://www.linkedin.com/pub/dir/Clint/Powell; https://www.linkedin.com/in/clint-powell-75275837
RDR Investments GP,RDR Investments GP LLC,"1702 Richmond Rd., Texarkana, TX",(903) 255-0573,info@rdrinvestmentsgp.com,https://www.linkedin.com/company/rrcu-financial-services,https://www.linkedin.com/company/rrcu-financial-services; https://www.linkedin.com/company/thearnoldcompanies; https://www.linkedin.com/company/carroll-advisory
"SLV Golden, LP","SLV Golden, LP LLC","3113 Northeast 2nd Street, Mineral Wells, TX",(940) 325-2974,info@slvgoldenlp.com,https://www.linkedin.com/jobs/view/expeditor-oncor-at-pike-corporation-4250816464,https://www.linkedin.com/jobs/view/expeditor-oncor-at-pike-corporation-4250816464; https://www.linkedin.com/in/quinn-robinson-6786ba53; https://acp.copernicus.org/articles/24/6883/2024/
"SABA Automotive, LLC","SABA Automotive, LLC","491 East Princeton Drive, Princeton, TX",(972) 734-6943,info@sabaautomotivellc.com,https://www.linkedin.com/in/brandi-bizzle-b93b16114,https://www.linkedin.com/in/brandi-bizzle-b93b16114; https://www.linkedin.com/company/saba-motors; https://www.linkedin.com/in/chris-saba-78b03bb2
"RUYI, Inc.","RUYI, Inc.","202 South Cedar Ridge Drive, Duncanville, TX",(972) 298-1010,info@ruyiinc..com,https://www.linkedin.com/company/ruyigroup/,https://www.linkedin.com/company/ruyigroup/; https://www.salary.com/job/ruyi-incorporated/assistant-manager/j202301260325123844037; https://www.career.com/job/ruyi-incorporated/cashier/j202211141818013358273
"L&P Franchising, Ltd.","L&P Franchising, Ltd. LLC","830 Rebel Road, Kyle, TX",(512) 268-8174,info@l&pfranchisingltd..com,https://www.linkedin.com/in/paul-terry-98002081,https://www.linkedin.com/in/paul-terry-98002081; https://www.linkedin.com/pub/dir/Paul/Terry/us-0-United-States; https://www.linkedin.com/jobs/view/director-of-operations-at-texas-disposal-systems-4258765488
TAWARA Corporation,TAWARA Corporation LLC,"200 Corsicana Highway, Hillsboro, TX",(254) 582-2147,info@tawaracorporation.com,https://www.linkedin.com/showcase/tawara-inc/,https://www.linkedin.com/showcase/tawara-inc/; https://www.linkedin.com/in/ankittiwari88; https://www.linkedin.com/in/brittany-kempf-198981177
"TCM Foods, LLC","TCM Foods, LLC","2600 West Euless Blvd., Euless, TX",(817) 545-8000,info@tcmfoodsllc.com,https://www.linkedin.com/jobs/view/shift-manager-at-southern-multifoods-inc-4257311249,https://www.linkedin.com/jobs/view/shift-manager-at-southern-multifoods-inc-4257311249; https://www.linkedin.com/jobs/view/restaurant-general-manager-at-southern-multifoods-inc-4257307737; https://www.linkedin.com/jobs/view/merchandiser-specialist-at-acosta-group-4254476019
"RD Family Food Services,
LLC","RD Family Food Services,
LLC","1517 East End Blvd., Marshall, TX",(903) 972-2400,"info@rdfamilyfoodservices
llc.com",https://www.linkedin.com/in/brandon-eller-61bab8bb,https://www.linkedin.com/in/brandon-eller-61bab8bb; https://www.linkedin.com/in/michael-streb-6b4a271b; https://www.conagrabrands.com/
"Pilot Point Chicken
Venture #1, LLC","Pilot Point Chicken
Venture #1, LLC","790 South Highway 377, Pilot Point, TX",(940) 686-0254,"info@pilotpointchicken
venture#1llc.com",,https://www.localprofile.com/real-estate/pilot-point-growth-denton-county-10731540
"Taves Enterprises, LLC","Taves Enterprises, LLC","5125 Buffalo Gap Road, Abilene, TX",(325) 793-9242,info@tavesenterprisesllc.com,https://www.linkedin.com/pub/dir/+/Taves/us-0-United-States,https://www.linkedin.com/pub/dir/+/Taves/us-0-United-States; https://www.linkedin.com/in/vernonlkury; https://www.linkedin.com/company/sarey-enterprises-llc-dba-alliance-mortgage-group
"Taves Enterprises, LLC","Taves Enterprises, LLC","3889 North 1st Street, Abilene, TX",(325) 672-4110,info@tavesenterprisesllc.com,https://www.linkedin.com/pub/dir/+/Taves/us-0-United-States,https://www.linkedin.com/pub/dir/+/Taves/us-0-United-States; https://www.linkedin.com/in/vernonlkury; https://www.linkedin.com/company/mass-enterprises-llc
"Powell, Clint","Powell, Clint LLC","235 North St Mary’s, Beeville, TX",(361) 358-5525,info@powellclint.com,https://www.linkedin.com/in/clint-powell-2135178,https://www.linkedin.com/in/clint-powell-2135178; https://www.linkedin.com/pub/dir/Clint/Powell; https://www.linkedin.com/in/clint-beasley-64624b18
"SNB Group, LLC","SNB Group, LLC","1218 IH 30, Greenville, TX",(903) 455-8195,info@snbgroupllc.com,https://www.linkedin.com/company/snb-group-vietnam,https://www.linkedin.com/company/snb-group-vietnam; https://www.linkedin.com/jobs/view/part-time-fulfillment-associate-flexible-at-lowe-s-companies-inc-4258372492; https://www.linkedin.com/in/kelley-kolar-bb721b15
"Tender Lovers, LLC","Tender Lovers, LLC","3507 McCann, Longview, TX",(903) 757-2828,info@tenderloversllc.com,https://www.linkedin.com/in/cristy-christian-202216178,https://www.linkedin.com/in/cristy-christian-202216178; https://www.linkedin.com/in/terry-spencer-80a4a8174; https://www.linkedin.com/in/timothy-rens-b8055a13
"TCM Foods, LLC","TCM Foods, LLC","740 Airport Freeway, Hurst, TX",(817) 510-3333,info@tcmfoodsllc.com,https://www.linkedin.com/jobs/view/hr-coordinator-at-impact-merchant-group-4166212646?refId=bpCeYhATxc%2BfzYyYYT2Tow%3D%3D&trackingId=Ru19hQlHjpa8IXL%2FGAE2nA%3D%3D,https://www.linkedin.com/jobs/view/hr-coordinator-at-impact-merchant-group-4166212646?refId=bpCeYhATxc%2BfzYyYYT2Tow%3D%3D&trackingId=Ru19hQlHjpa8IXL%2FGAE2nA%3D%3D; https://www.linkedin.com/in/sindee-fregon-714b1433; https://www.linkedin.com/in/george-hurst-40285895
AKS Food Corporation,AKS Food Corporation LLC,"300 North Bell, Denton, TX",(940) 898-1000,info@aksfoodcorporation.com,https://www.linkedin.com/company/ach-food-companies,https://www.linkedin.com/company/ach-food-companies; https://www.linkedin.com/in/kharwat; https://www.linkedin.com/in/benjamin-nichols-ab880a103
Hometown Eateries LLC,Hometown Eateries LLC,"618 North Main Street, Hennessey, OK",(405) 853-2445,info@hometowneateriesllc.com,https://www.linkedin.com/company/hometown-food-company,https://www.linkedin.com/company/hometown-food-company; https://ca.linkedin.com/company/hometowneats; https://www.idcrawl.com/jeff-tippett
"GC Guthrie Oklahoma,
Inc.","GC Guthrie Oklahoma,
Inc.","2629 E Oklahoma Avenue, Guthrie, OK",(405) 260-1702,"info@gcguthrieoklahoma
inc..com",https://www.linkedin.com/company/guthriejobcorpscenter,https://www.linkedin.com/company/guthriejobcorpscenter; https://www.linkedin.com/in/castle-steve; https://www.linkedin.com/jobs/integrity-jobs-guthrie-ok
"The Golden Menorah,
LLC","The Golden Menorah,
LLC","26210 Canyon Golf Road, San Antonio, TX",(210) 481-9098,"info@thegoldenmenorah
llc.com",https://my.linkedin.com/company/golden-manor,https://my.linkedin.com/company/golden-manor; https://www.linkedin.com/in/lily-dominguez-2a09301b5; https://www.linkedin.com/in/lauradokken
"WGG, INC.","WGG, INC. LLC","2500 Williams Drive, Georgetown, TX",(512) 863-7230,info@wgginc..com,https://www.linkedin.com/company/egg-inc,https://www.linkedin.com/company/egg-inc; https://www.linkedin.com/in/miki-wright-5061a534; https://www.linkedin.com/jobs/view/general-manager-at-eggs-up-grill-4222139026
"Venture Foods, LLC","Venture Foods, LLC","524 N. Loop 340, Bellmead, TX",(254) 870-0027,info@venturefoodsllc.com,https://www.linkedin.com/company/ventura-foods,https://www.linkedin.com/company/ventura-foods; https://www.linkedin.com/in/hunter-pettijohn-7915311b1; https://www.linkedin.com/in/jon-allen-29097a20
"Pointbreak Ventures, Inc.","Pointbreak Ventures, Inc.","101 East Martin Luther King, San Marcos, TX",(512) 392-9584,info@pointbreakventuresinc..com,https://www.linkedin.com/in/christina-bau-304a093,https://www.linkedin.com/in/christina-bau-304a093; https://www.linkedin.com/company/true-wind-capital; https://www.linkedin.com/in/diego-valdovinos-7806351a3
Golden Operating Corporation,Golden Operating Corporation LLC,"2089 N. Beltline Blvd., Columbia, SC",,info@goldenoperatingcorporation.com,https://www.linkedin.com/in/jon-davis-b81149a2,https://www.linkedin.com/in/jon-davis-b81149a2; https://www.linkedin.com/jobs/view/systems-architect-at-golden-technology-4259909481; https://www.linkedin.com/company/golden
"RUYI, Inc.","RUYI, Inc.","3330 Broadway, Garland, TX",(972) 840-6060,info@ruyiinc..com,https://www.linkedin.com/company/ruyigroup/,https://www.linkedin.com/company/ruyigroup/; https://www.linkedin.com/in/ruyiren; https://www.linkedin.com/in/brandon-abeare-043656b8
"WGG, INC.","WGG, INC. LLC","1010 Austin Avenue, Georgetown, TX",(512) 863-5451,info@wgginc..com,https://www.linkedin.com/company/egg-inc,https://www.linkedin.com/company/egg-inc; https://www.linkedin.com/in/miki-wright-5061a534; https://www.linkedin.com/in/paul-exley-586a5b8a
CC Stirling Ventures,CC Stirling Ventures LLC,"275 Hwy 90 E., Hondo, TX",(830) 426-4000,info@ccstirlingventures.com,https://www.linkedin.com/company/cc-stirling-ventures,https://www.linkedin.com/company/cc-stirling-ventures; https://www.linkedin.com/jobs/view/guest-service-provider-at-cc-stirling-ventures-4214114209; https://www.linkedin.com/jobs/cc-stirling-ventures-jobs-worldwide?f_C=4814653&trk=top-card_top-card-primary-button-top-card-primary-cta
"Venture Foods, LLC","Venture Foods, LLC","1036 Patrick Street, Dublin, TX",(254) 445-1922,info@venturefoodsllc.com,https://www.linkedin.com/company/ventura-foods,https://www.linkedin.com/company/ventura-foods; https://www.linkedin.com/posts/tyler-bindi_just-listed-golden-chick-1036-n-patrick-activity-7275932875277967361-nVNM; https://www.linkedin.com/in/jeffamulligan
Tijara Enterprises LLC,Tijara Enterprises LLC,"3071 W. Northwest Hwy, Dallas, TX",(469) 620-1350,info@tijaraenterprisesllc.com,https://www.linkedin.com/in/shahzar-mirza-b71185195,https://www.linkedin.com/in/shahzar-mirza-b71185195; https://www.linkedin.com/in/bruno-cheron; https://www.linkedin.com/company/tps-talent-llc
"RUYI, Inc.","RUYI, Inc.","4525 Gus Thomason Road, Mesquite, TX",(972) 613-6300,info@ruyiinc..com,https://www.linkedin.com/company/ruyigroup/,https://www.linkedin.com/company/ruyigroup/; https://www.career.com/job/ruyi-incorporated/assistant-manager/j202211141817587107293; https://il.linkedin.com/company/ruyigroup
"89th Enterprises, LLC","89th Enterprises, LLC","11301 Westmark Dr., Yukon, OK",(405) 824-8351,info@89thenterprisesllc.com,https://www.linkedin.com/in/franklin-truong-99b8781a8,https://www.linkedin.com/in/franklin-truong-99b8781a8; https://de.linkedin.com/company/89-energy-holdings-llc; https://www.linkedin.com/company/89-energy-holdings-llc
"89th Enterprises, LLC","89th Enterprises, LLC","12320 N. Macarthur Boulevard, Oklahoma City, OK",(405) 824-8351,info@89thenterprisesllc.com,https://www.linkedin.com/in/franklin-truong-99b8781a8,https://www.linkedin.com/in/franklin-truong-99b8781a8; https://www.linkedin.com/company/89-energy-holdings-llc; https://de.linkedin.com/company/89-energy-holdings-llc
"GC Restaurants SA, LLC","GC Restaurants SA, LLC","2503 SE Military Drive, San Antonio, TX",(210) 560-0924,info@gcrestaurantssallc.com,https://www.linkedin.com/company/golfcluboftexas-sanantonio,https://www.linkedin.com/company/golfcluboftexas-sanantonio; https://www.linkedin.com/in/joe-g-76059a156; https://www.linkedin.com/company/churchstexaschicken
"G.C. Dallas – NW
Highway 2015, Ltd.","G.C. Dallas – NW
Highway 2015, Ltd. LLC","11805 E. Northwest Highway, Dallas, TX",(469) 458-3114,"info@g.c.dallas–nw
highway2015ltd..com",https://www.linkedin.com/company/isn,https://www.linkedin.com/company/isn; https://www.linkedin.com/in/marielena-hurtado-003486100; https://www.linkedin.com/in/stephen-graham-53b98b32
"Venture Foods, LLC","Venture Foods, LLC","5010 S. Hwy 360, Grand Prairie, TX",(214) 235-0096,info@venturefoodsllc.com,https://www.linkedin.com/company/ventura-foods,https://www.linkedin.com/company/ventura-foods; https://www.linkedin.com/jobs/view/customer-service-manager-at-ventura-foods-4227364288; https://www.linkedin.com/in/chris-cassout-70495814
"Crescent Star Foods (PVT)
Limited","Crescent Star Foods (PVT)
Limited LLC","81 Y-Block, Commercial Zone
DHA, Lahore, PK",92-423-569-4717,"info@crescentstarfoods(pvt)
limited.com",https://pk.linkedin.com/company/cstarfoods,https://pk.linkedin.com/company/cstarfoods; https://pk.linkedin.com/in/shakeel-ali-15b694242; https://pk.linkedin.com/in/saqib-zaidi-322a2914
Golden Operating Corporation,Golden Operating Corporation LLC,"1590 Chestnut Street, Orangeburg, SC",,info@goldenoperatingcorporation.com,https://www.linkedin.com/in/connie-johnson-656114195,https://www.linkedin.com/in/connie-johnson-656114195; https://www.linkedin.com/in/james-johnson-a0a3b1a; https://www.linkedin.com/in/shane-d-8804b047?trk=public_profile_browsemap_profile-result-card_result-card_full-click
LMSA LLC,LMSA LLC,"2111 NW 23^{rd} Street, Oklahoma City, OK",(405) 528-9191,info@lmsallc.com,https://www.linkedin.com/company/latino-student-medical-association,https://www.linkedin.com/company/latino-student-medical-association; https://www.linkedin.com/in/jeremy-smith-96413833; https://www.linkedin.com/company/continental-resources-2
Golden Operating Corporation,Golden Operating Corporation LLC,"118 Rolling Hills Circle, Easley, SC",,info@goldenoperatingcorporation.com,https://www.linkedin.com/jobs/view/director-of-contract-operations-at-ey-4254388991,https://www.linkedin.com/jobs/view/director-of-contract-operations-at-ey-4254388991; https://www.linkedin.com/jobs/view/restaurant-kitchen-manager-at-atlanta-swim-academy-4073771953; https://www.linkedin.com/in/kevin-simpson-09a361aa
"Y&I Restaurants, Inc.","Y&I Restaurants, Inc.","728 East Main, Uvalde, TX",(830) 591-1300,info@y&irestaurantsinc..com,,
"Anointed Restaurants,
LLC","Anointed Restaurants,
LLC","807 Broad Street, Sumter, SC",(803) 774-7780,"info@anointedrestaurants
llc.com",https://www.linkedin.com/in/tia-lawson-311100193,https://www.linkedin.com/in/tia-lawson-311100193; https://www.idcrawl.com/carmela-williams
"GFC Lease III, Inc.","GFC Lease III, Inc.","1906 West Broadway, Sulphur, OK",,info@gfcleaseiiiinc..com,https://www.linkedin.com/company/gfc-leasing---a-division-of-the-gordon-flesh-company,https://www.linkedin.com/company/gfc-leasing---a-division-of-the-gordon-flesh-company; https://www.linkedin.com/in/tyler-hatten-b923bb148; https://www.zabasearch.com/people/robb-d/
C C Stirling Ventures,C C Stirling Ventures LLC,"508 North Oak XFR 6-1-14, Pearsall, TX",(830) 334-2025,info@ccstirlingventures.com,https://www.linkedin.com/company/cc-stirling-ventures,https://www.linkedin.com/company/cc-stirling-ventures; https://www.linkedin.com/in/caleb-stirling-3518ba92; https://www.linkedin.com/jobs/view/food-prep-at-cc-stirling-ventures-4107075016
"WGG, INC.","WGG, INC. LLC","1103 West Pecan, Pflugerville, TX",(512) 251-3648,info@wgginc..com,https://www.linkedin.com/in/erin-varney-7b0014a9,https://www.linkedin.com/in/erin-varney-7b0014a9; https://www.linkedin.com/jobs/view/host-hostess-at-eggs-up-grill-4219241306; https://www.linkedin.com/company/egg-inc
"Yara Masri Management
Company","Yara Masri Management
Company LLC","2887 Ovilla Road, Ovilla, TX",(469) 552-6558,"info@yaramasrimanagement
company.com",https://www.linkedin.com/pub/dir/Yara/Masri,https://www.linkedin.com/pub/dir/Yara/Masri; https://ps.linkedin.com/in/yara-masri-822849a7; https://www.linkedin.com/pub/dir/Yara/Al+Masri
Waldron Enterprises LLC,Waldron Enterprises LLC,"4400 Golden Triangle Blvd., Fort Worth, TX",(817) 482-1177,info@waldronenterprisesllc.com,https://www.linkedin.com/in/kenzie-waldron-66abb7360,https://www.linkedin.com/in/kenzie-waldron-66abb7360; https://www.linkedin.com/in/alexis-waldron-41b91761; https://www.linkedin.com/in/chris-waldron-5a598426a
Golden Operating Corporation,Golden Operating Corporation LLC,"16740 Hillcrest Road, Dallas, TX",,info@goldenoperatingcorporation.com,https://www.linkedin.com/in/sesibel-cazares-73aa1b187,https://www.linkedin.com/in/sesibel-cazares-73aa1b187; https://www.linkedin.com/in/stephen-rogan-05b02a86; https://www.linkedin.com/in/latricia-kelly-430563370
GC Ponca City LLC,GC Ponca City LLC,"2224 N. 14^{th} Street, Ponca City, OK",(580) 762-4425,info@gcponcacityllc.com,https://www.linkedin.com/in/samuel-pettit-b49952303,https://www.linkedin.com/in/samuel-pettit-b49952303; https://www.linkedin.com/in/candace-green-2a70a5184; https://www.linkedin.com/in/todd-looper-bb3a76102
"LSL, Inc.","LSL, Inc.","5610 West Owen K Garriott, Ste.
A, Enid, OK",(580) 233-9996,info@lslinc..com,https://www.linkedin.com/company/lsl-healthcare-llc,https://www.linkedin.com/company/lsl-healthcare-llc; https://www.linkedin.com/company/precision-wireline-llc; https://www.linkedin.com/in/matt-landwehr-51b5811a
"Ashraf, LLC","Ashraf, LLC","1613 North Rockwell Avenue, Oklahoma City, OK",(405) 470-3636,info@ashrafllc.com,https://www.linkedin.com/in/zubair-ashraf-137300135,https://www.linkedin.com/in/zubair-ashraf-137300135; https://www.linkedin.com/pub/dir/Abdullah/Ashraf/us-0-United-States; https://www.linkedin.com/pub/dir/Mohammad/Ashraf/us-0-United-States
"Lovern, Sam","Lovern, Sam LLC","202 North Van Buren, Enid, OK",(580) 234-9996,info@lovernsam.com,https://www.linkedin.com/in/samlovern,https://www.linkedin.com/in/samlovern; https://www.linkedin.com/in/samuel-lorenzen-213459219; https://www.linkedin.com/pub/dir/Samantha/Lovern/us-0-United-States
"GFC Lease III, Inc.","GFC Lease III, Inc.","1022 Highway 377 North, Whitesboro, TX",,info@gfcleaseiiiinc..com,https://www.linkedin.com/company/gfc-leasing---a-division-of-the-gordon-flesh-company,https://www.linkedin.com/company/gfc-leasing---a-division-of-the-gordon-flesh-company; https://www.linkedin.com/in/june-havekost-07275026; https://www.linkedin.com/in/rachel-baroth-245b392a
"Anointed Restaurants 2,
LLC","Anointed Restaurants 2,
LLC","482 W. Boyce Street, Manning, SC",(803) 825-0010,"info@anointedrestaurants2
llc.com",,
"Tender Lovers, LLC","Tender Lovers, LLC","638 West Broad, Mineola, TX",(903) 569-0404,info@tenderloversllc.com,https://www.linkedin.com/in/bill-fry-21364046,https://www.linkedin.com/in/bill-fry-21364046; https://www.linkedin.com/in/vicki-toland-9a28bb134; https://www.linkedin.com/in/brianna-riddle-4031811b6
"Isenhour Management,
Inc.","Isenhour Management,
Inc.","501 Avenue F, Del Rio, TX",(830) 775-2442,"info@isenhourmanagement
inc..com",https://www.linkedin.com/in/joshua-guevara-8270bb239,https://www.linkedin.com/in/joshua-guevara-8270bb239; https://www.linkedin.com/in/melissa-t-wong-308286252; https://www.linkedin.com/in/juanita-mendoza-373a492a9
Golden Operating Corporation,Golden Operating Corporation LLC,"147 S. Ron McNair Boulevard, Lake City, SC",,info@goldenoperatingcorporation.com,https://www.linkedin.com/in/dave-lyons-8501b1169,https://www.linkedin.com/in/dave-lyons-8501b1169; https://www.linkedin.com/in/johnnie-hardy-95245234; https://www.linkedin.com/in/sheryl-golden-3b59276
Golden Operating Corporation,Golden Operating Corporation LLC,"2409 2th Street, Wichita Falls, TX",,info@goldenoperatingcorporation.com,https://www.linkedin.com/company/golden-chick,https://www.linkedin.com/company/golden-chick; https://www.linkedin.com/company/cityofwichitafalls; https://www.linkedin.com/in/john-golden-4750966a
"S. De Oro Ventures, LLC","S. De Oro Ventures, LLC","3138 South Padre Island Dr., Corpus Christi, TX",(361) 442-2146,info@s.deoroventuresllc.com,https://www.linkedin.com/in/nathan-weaver-74a37233,https://www.linkedin.com/in/nathan-weaver-74a37233; https://www.linkedin.com/in/titanoftech; https://www.linkedin.com/company/base4-ventures
Amanah LLC,Amanah LLC,"11121 N. May Avenue, Oklahoma City, OK",(450) 252-4115,info@amanahllc.com,https://www.linkedin.com/company/amanah-global-studi-llc,https://www.linkedin.com/company/amanah-global-studi-llc; https://www.linkedin.com/company/cityofokc; https://www.linkedin.com/in/yenrin-amanah-jr-378033a1
Golden Operating Corporation,Golden Operating Corporation LLC,"2616 Southwest Parkway, Wichita Falls, TX",,info@goldenoperatingcorporation.com,https://www.linkedin.com/company/golden-chick,https://www.linkedin.com/company/golden-chick; https://www.linkedin.com/in/john-golden-4750966a; https://www.linkedin.com/company/cityofwichitafalls
"Xelsior Industries, LLC","Xelsior Industries, LLC","3710 W. Hwy 98, Panama City, FL",(850) 481-8641,info@xelsiorindustriesllc.com,https://www.linkedin.com/in/ericjmcowan,https://www.linkedin.com/in/ericjmcowan; https://www.linkedin.com/in/stanley-vuong; https://www.linkedin.com/in/kristina-mccall-15484b65
Golden Operating Corporation,Golden Operating Corporation LLC,"1101 North Main, Weatherford, TX",,info@goldenoperatingcorporation.com,https://www.linkedin.com/company/weatherford,https://www.linkedin.com/company/weatherford; https://www.linkedin.com/in/dana-ashton-a08b783a; https://www.linkedin.com/in/andy-herring-baa47995
"GCFM, LLC","GCFM, LLC","4150 Justin Road, # 120, Flower Mound, TX",(940) 241-2499,info@gcfmllc.com,https://www.linkedin.com/in/mary-hudelson-m-d-27b49b21,https://www.linkedin.com/in/mary-hudelson-m-d-27b49b21; https://www.linkedin.com/in/lisa-robinson-b3212515; https://www.linkedin.com/in/jennifer-logan-86779579
"ISOSA, Inc.","ISOSA, Inc.","1061 E. Main Street, Midlothian, TX",(469) 612-5211,info@isosainc..com,https://www.linkedin.com/in/kevin-hornby-7750668b,https://www.linkedin.com/in/kevin-hornby-7750668b; https://www.linkedin.com/in/vernonfranklin; https://www.linkedin.com/company/isoi
Best of Cluck LLC,Best of Cluck LLC,"1326 N. Masters Dr., Dallas, TX",(469) 709-8001,info@bestofcluckllc.com,https://www.linkedin.com/company/best-of-cluck-llc,https://www.linkedin.com/company/best-of-cluck-llc; https://at.linkedin.com/company/best-of-cluck-llc; https://kr.linkedin.com/company/best-of-cluck-llc?trk=similar-pages_result-card_full-click
"Serna, Roberto","Serna, Roberto LLC","701 West Zavala, Crystal City, TX",(830) 374-5162,info@sernaroberto.com,https://www.linkedin.com/in/roberto-serna-1282102b7,https://www.linkedin.com/in/roberto-serna-1282102b7; https://lawyers.justia.com/lawyer/roberto-serna-252713; https://www.linkedin.com/in/robert-serna-b9bb21113
"The Chicken & Fish
Depot, LLC","The Chicken & Fish
Depot, LLC","7601 Midcities Blvd., North Richland Hills, TX",(817) 427-5000,"info@thechicken&fish
depotllc.com",https://www.linkedin.com/jobs/view/merchandising-and-inventory-manager-at-petsmart-3906124010,https://www.linkedin.com/jobs/view/merchandising-and-inventory-manager-at-petsmart-3906124010; https://www.linkedin.com/jobs/view/salad-and-sandwich-maker-at-gigs-4241167578; https://www.linkedin.com/jobs/view/salad-and-sandwich-maker-at-gigs-4187510504
"WGG Leander Interests,
Inc.","WGG Leander Interests,
Inc.","901 South US 183, Leander, TX",(512) 528-0341,"info@wggleanderinterests
inc..com",https://www.linkedin.com/company/leandertx,https://www.linkedin.com/company/leandertx; https://www.linkedin.com/in/jos-vermeulen-469aa875; https://www.linkedin.com/in/sunnyadityayadav
"89th Enterprises, LLC","89th Enterprises, LLC","5800 S. Pennsylvania Ave., Oklahoma City, OK",(405) 824-8351,info@89thenterprisesllc.com,https://www.linkedin.com/in/franklin-truong-99b8781a8,https://www.linkedin.com/in/franklin-truong-99b8781a8; https://www.linkedin.com/company/89-energy-holdings-llc; https://de.linkedin.com/company/89-energy-holdings-llc
